,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
女,Abigail,"Abbey, Abby, Abbi, Abbie, Abi, Abs, Aby, Gail, Gayle","Abagale, Abagil, Abaigeal, Abbagail, Abbiegail, Abbigale, Abbigayl, Abbigal, Abbiegail, Abbigayle, Abbygail, Abbygale","英語, 聖經, 聖經德語, 聖經義大利語, 聖經葡萄牙語, 聖經拉丁語",源自希伯來文名字 אֲבִגִָל ('Avigayil)，意思是“我的父親是快樂”，源自詞根 אָב ('av) 意思是“父親”，גִּל (gil) 意思是“快樂”。在舊約中，這是拿八妻子的名字。拿八死後，她成為大衛王的第三任妻子。作為一個英語名字，阿比蓋爾（Abigail）在新教改革後首次流行，並在清教徒中流行。聖經中的阿比蓋爾將自己稱為僕人，從 17 世紀開始，這個名字成為僕人的俚語，特別是在以阿比蓋爾為主角的戲劇《輕蔑的女士》（1616）上映之後。這個名字當時已經過時了，但在 20 世紀又重新流行起來。,,,,,,
女,Abigale,"Abbey, Abby, Abbi, Abbie, Abi, Abs, Aby, Gail, Gayle","Abagale, Abagil, Abaigeal, Abbagail, Abbiegail, Abbigale, Abbigayl, Abbigal, Abbiegail, Abbigayle, Abbygail, Abbygale",英語（現代）,Abigail的變體。,,,,,,
女,Abigayle,"Abbey, Abbi, Abbie, Abby, Abi, Gail, Gale, Gayla, Gayle, Gaila","Abagale, Abagil, Abaigeal, Abbagail, Abbiegail, Abbigale, Abbigayl, Abbigal, Abbiegail, Abbigayle, Abbygail, Abbygale",英語（現代）,Abigail的變體。,,,,,,
男,Abner,,,英語、聖經、聖經拉丁語,"在希伯來文的意思是“我的父親是一盞燈”(""my father is a light"")，由אָב ('av) 意為“父親”，נֵר (ner) 意為“燈、光”。在舊約中，押尼珥是掃羅的表弟，也是掃羅軍隊的統帥。他殺了亞撒黑後，自己也被亞撒黑的兄弟約押所殺。一位著名的傳承者是 14 世紀猶太哲學家布爾戈斯的阿布納 (Abner of Burgos)，他皈依基督教後被稱為巴利亞多利德的阿方索 (Alfonso of Valladolid)。自新教改革以來，它一直被用作英國基督徒的名字。它很受清教徒的歡迎，並於 17 世紀將其帶到了美國。",,,,,,
男,Abraham,"Abe, Bram (英語) Avi (希伯來語) Bram (荷蘭語)","Abram, Ibrahim","英語, 希伯來語, 西班牙語, 法語, 荷蘭語, 聖經語言, 聖經德語, 聖經瑞典語, 聖經挪威語, 聖經丹麥語, 聖經拉丁語",這個名字在希伯來文中可以被視為「許多人的父親」的意思，也可以被視為「亞伯蘭 1」和 הָמוֹן（hamon）的縮寫，意思是「許多，眾多」。聖經中的族長亞伯拉罕最初名為亞伯蘭，但上帝改變了祂的名字（參考創世記 17:5）。他和他的父親他拉一起，帶領妻子撒拉、侄子羅得和其他追隨者從吾珥進入迦南。猶太人認為他透過兒子以撒創立了希伯來人，而穆斯林則透過兒子以實瑪利認為他是阿拉伯人的創始人。作為一個英國教名，亞伯拉罕在新教改革後變得普遍。著名的支持者是美國總統亞伯拉罕·林肯（1809-1865），他推動廢除奴隸制並領導國家度過內戰。,,,,,,
男,Abram (1),,,英語、聖經,在希伯來文的意思是「高高的父親」。在舊約中，神將亞伯蘭的名字改為亞伯拉罕,,,,,,
男,Abram (2),Abrasha (俄語),,俄語、烏克蘭語、白俄羅斯語、格魯吉亞語,俄羅斯語、烏克蘭語、白俄羅斯語和格魯吉亞語中 Abraham 的形式。,,,,,,
女,Acacia,,,英語（罕見）,來自一種樹的名稱，最終源自希臘語ἀκή（ake），意思是「刺，點」。,,,,,,
男,Ace,,,英語,源自英語單字，意思是「最高等級」。更常見的是暱稱，偶爾用作名字。,,,,,,
女,Ada,,,英語、義大利語、西班牙語、德語、荷蘭語、挪威語、波蘭語、芬蘭語、日耳曼語,最初是日耳曼名字的縮寫形式，例如 Adelaide 或 Adelina，以元素 adal 開頭，意思是「高貴」。聖艾達是 7 世紀勒芒的法蘭克女修道院院長。這個名字也由拜倫勳爵的女兒洛夫萊斯伯爵夫人（又稱阿達·洛夫萊斯）奧古斯塔·艾達·金（Augusta Ada King，1815-1852）所用。她是早期機械計算機的發明者查爾斯·巴貝奇的助手。,,,,,,
男女,Adair,,,英語（罕見）,源自英語姓氏，源自名字埃德加 (Edgar)。,,,,,,
女,Adelina,"Ada, Alina (義大利語) Aline (葡萄牙語 (巴西)) Ada, Alina (西班牙語) Alina (羅馬尼亞語) Ada (日耳曼語)",,義大利語、葡萄牙語、西班牙語、羅馬尼亞語、保加利亞語、日耳曼語（拉丁語）,源自日耳曼語名稱，源自元素 adal，意思是“高貴”（原始日耳曼語 *aþalaz）。,,,,,,
女,Adaline,"Ada, Addie, Addy, Aline",Adelina,英語,Adelina 的變種。,,,,,,
女,Adalyn,"Addie, Addy, Alene, Aline",Adeline,英語（現代）,Adeline 的變體，使用流行名稱後綴 lyn。,,,,,,
女,Adalynn,"Addie, Addy, Alene, Aline",Adeline,英語（現代）,Adeline 的變體，使用流行名稱後綴 lynn。,,,,,,
男,Adam,,,英語、法語、德語、波蘭語、荷蘭語、瑞典語、挪威語、丹麥語、捷克語、斯洛伐克語、俄語、烏克蘭語、克羅埃西亞語、塞爾維亞語、馬其頓語、羅馬尼亞語、加泰隆尼亞語、希臘文、希伯來文、阿拉伯文、喬治亞語、聖​​經、聖經拉丁文、聖經希臘文、聖經希伯來文,這就是希伯來文中「人」的意思。它最終可能源自希伯來語 אדם ('adam)，意思是“紅色”，指的是人類皮膚的紅潤顏色，或源自阿卡德語 adamu，意思是“製造”。根據舊約《創世記》，亞當是上帝從大地創造出來的（希伯來文有一個雙關語 אֲדָמָה ('adamah)，意思是「地球」）。他和夏娃被認為是最早的人類，幸福地生活在伊甸園裡，直到他們吃了善惡樹上的禁果。結果，他們被從伊甸園驅逐到東方，在那裡生下了第二代，包括該隱、亞伯和塞特。作為一個英國教名，亞當自中世紀以來就很常見，並在新教改革後得到了發展。一位著名的持有者是蘇格蘭經濟學家亞當·斯密（1723-1790）。,,,,,,
女,Adamina,"Ada, Mina",,英語（罕見）,Adam 的女性形式。,,,,,,
女,Addie,,,英語,Adelaide、Adeline、Addison 和其他包含相同發音的名字的縮寫。,,,,,,
女,Addilyn,"Addie, Addy, Alene, Aline",Adeline,英語,Adeline 的變體，使用流行名稱後綴 lyn。,,,,,,
女男,Addison,"Addie, Addy",,英語,來自一個英語姓氏，意思是 “Adam 的兒子”。它最近作為女性名字的流行源於其聲音與 Madison 的相似性。,,,,,,
女,Addy,,"Addi, Addie, Addy",英語,Adelaide、Adeline、Addison 和其他包含相同發音的名字的縮寫。,,,,,,
女,Addyson,"Addie, Addy",Addison,英語（現代）,Addison 的女性變體。,,,,,,
女,Adela,"Delia, Della (英語) Adelita (西班牙語 (拉丁美洲))",Adele,"英語, 西班牙語, 羅馬尼亞語, 波蘭語, 斯洛伐克語, 日耳曼語",最初是一種縮寫形式，以古德語元素 adal 開頭，意思是“高貴的”（原始日耳曼語 *aþalaz）。聖阿德拉 (Saint Adela) 是一位 7 世紀的法蘭克公主，她在法國普法澤爾 (Pfazel) 建立了一座修道院。這個名字也是征服者威廉的女兒的名字。,,,,,,
女,Adelaide,"Addie, Addy, Della",,"英語, 義大利語, 葡萄牙語",意思是“高貴、高貴”，源自日耳曼語名字Adalheidis的法語形式，由adal“高貴”和後綴heit“善良、排序、類型”組成。它是由神聖羅馬帝國皇帝奧託大帝的妻子聖阿德萊德於十世紀誕生的。在英國，源自古法語的平行形式愛麗絲（Alice）在歷史上比阿德萊德（Adelaide）更常見，儘管這種形式在19 世紀確實獲得了一些流行，因為威廉四世國王的德國出生的妻子很受歡迎，阿德萊德是阿德萊德的故鄉。,,,,,,
女,Adele,,Adela,德語、英語、義大利語,Adela 的形式在多種語言中使用。著名的持有者是舞者兼演員阿黛爾·阿斯泰爾（Adele Astaire，1896-1981）。它也由英國歌手阿黛爾·阿德金斯（Adele Adkins，1988-）承擔，簡稱阿黛爾。 2008 年，她發行首張專輯後不久，這個名字就在闊別 40 年後重新進入美國排行榜前 1000 名。,,,,,,
女,Adelia,"Delia, Della (英語) Adelita (西班牙語 (拉丁美洲))",,英語、西班牙語,Adela 的精緻形式。,,,,,,
女,Adeline,"Aline, Lina, Line, Linette, Lyna (法文) Ada, Addie, Addy, Alene, Aline (英文)",,法語、英語,Adelina 的法語和英語形式。,,,,,,
女,Adella,"Delia, Della",,英語,Adela 的精緻形式。,,,,,,
女,Adelle,,,英語,Adele 的精緻形式。,,,,,,
女,Adelyn,"Addie, Addy, Alene, Aline",,英語（現代）,Adeline 的變體，使用流行名稱後綴 lyn。,,,,,,
女,Adelynn,"Addie, Addy, Alene, Aline",,英語（現代）,Adeline 的變體，使用流行名稱後綴 lynn。,,,,,,
男,Aden,,Aidan,英語（現代）,Aidan 的變種。,,,,,,
女,Adena,,Adina,希伯來語 (罕見),可能是 Adina 的變體。,,,,,,
男,Adler,,"Addie, Addy",英語（現代）,來自德國姓氏，意思是“鷹”。,,,,,,
男,Adolph,Dolph,Adolf,英語,Adolf 的英語形式，自二戰以來很少使用。,,,,,,
女,Adria,,,英語,Adriana 的縮寫形式。,,,,,,
男,Adrian,Adi (羅馬尼亞語),,英語、羅馬尼亞語、波蘭語、德語、瑞典語、挪威語、丹麥語、俄語,Hadrianus（請參閱 Hadrian）的變體，在多種語言中使用。多位聖人和六位教宗都曾使用過這個名字，包括唯一的英國教宗阿德里安四世和唯一的荷蘭教宗阿德里安六世。作為一個英文名，它自中世紀以來就一直被使用，但直到現代才開始流行。,,,,,,
女,Adriana,"Adria, Drina",Adrianna,"義大利語, 西班牙語, 葡萄牙語, 羅馬尼亞語, 波蘭語, 斯洛伐克語, 捷克語, 保加利亞語, 英語, 荷蘭語",Adrian 的女性形式。著名的持有者是巴西模特兒阿德里亞娜·利馬（Adriana Lima，1981-）。,,,,,,
女,Adrianna,"Adria, Drina",Adriana,"英語, 波蘭語",Adrian 的女性形式。,,,,,,
女,Adrianne,"Adria, Drina",,英語,Adrian 的女性形式。,,,,,,
女,Adrienne,,,法語、英語,Adrian 的女性形式。,,,,,,
女,Aggie,,,英語,Agnes 或 Agatha 的暱稱。,,,,,,
女,Agnes,"Aggie, Nancy (英語) Nes, Neske (荷蘭語) Age (愛沙尼亞語)",,英語、德語、荷蘭語、瑞典語、挪威語、丹麥語、冰島語、愛沙尼亞語、古希臘語（拉丁語）,希臘文名字Ἁγνή（Hagne）的拉丁化形式，源自希臘文ἁγνός（hagnos），意思是「貞潔」。聖艾格妮絲是一位處女，在羅馬皇帝戴克里先的迫害中殉道。這個名字與拉丁語agnus「羔羊」聯繫在一起，導致聖人經常被描繪成身邊有一隻羔羊。由於她的名氣，這個名字在基督教歐洲變得很常見。作為一個英語名字，它從中世紀到 17 世紀非常流行。它於19世紀復興，並普遍到1920世紀，但在1930年代後逐漸衰落。它最後一次出現在美國 1000 強排行榜上是在 1972 年。,,,,,,
男,Aidan,,"Aiden, Aidyn, Aidin, Adin, Adon, Adan, Aden, Aedan, Aydan, Ayden",愛爾蘭語、英語（現代）,Aodhán的英語形式。在20世紀下半葉，它因其聲音而在美國流行，因為它與Braden和Hayden等名字具有相同的聲音。 2003年，男子排名最高為第39名。,,,,,,
男,Aiden,,,英語（現代）,Aidan 的變種。,,,,,,
女,Aileen,,,蘇格蘭語、愛爾蘭語、英語,Eileen的變種。,,,,,,
女,Aimee,,,英語,Amy 的變體，受法語 Aimée 的影響。,,,,,,
女,Ainslee,,,英語（罕見）,Ainsley 的變體。,,,,,,
女男,Ainsley,,,蘇格蘭語、英語（現代）,來自一個來自地名的英語姓氏：諾丁漢郡的安斯利或沃里克郡的安斯利。這些地名本身源自古英語 anne（孤獨、孤獨）或 ansetl（隱士）和 leah（林地、空地）。在美國，這個名字在 2000 年開始流行，當時電視劇《白宮風雲》中帶有這個名字的角色開始出現。,,,,,,
女,Ainslie,,,英語（罕見）,Ainsley 的變體。,,,,,,
男,Al,,,英語,Albert 和其他以 Al 開頭的名字的縮寫形式。一位著名的持有者是美國演員阿爾·帕西諾（Al Pacino，1940-）。,,,,,,
,Alaia (1),,,巴斯克語,意思是「快樂、幸福」，來自巴斯克語 alai。,,,,,,
女,Alaia (2),"Ali, Laia",,英語（現代）,可能是 Alayah 的變體。它也可能受到時尚品牌 Alaïa 的影響，該品牌以突尼斯裔法國設計師 Azzedine Alaïa（1935-2017 年）的名字命名。他的阿拉伯語姓氏是“Alayyah”，意思是“崇高”。,,,,,,
女,Alaina,Lana,,英語（現代）,Alana 的變體，可能受到 Elaine 的影響。,,,,,,
女,Alaiya,,,英語（現代）,Alayah 的變體。,,,,,,
男,Alan,Al,,"英語, 蘇格蘭語, 布列塔尼語, 法語, 波蘭語",這個名字的含義尚不清楚。它至少早在六世紀就在布列塔尼使用，在布列塔尼語中可能意味著“小岩石”或“英俊”。或者，它可能源自阿蘭人的部落名稱，阿蘭人是伊朗人，於四世紀和五世紀遷移到歐洲。這是布列塔尼幾位公爵的名字，布列塔尼定居者在諾曼征服後將其引入英格蘭。現代著名的承載者包括第一個進入太空的美國人和第五個登上月球的人艾倫·謝潑德（1923-1998）和英國數學家和計算機科學家艾倫·圖靈（1912-1954 ）。,,,,,,
女,Alana,Lana,"Alanna, Alannah, Ilana",英語、布列塔尼語,Alan 的女性形式。,,,,,,
女,Alani,Lana,,英語（現代）,可能是 Alana 的變體，或者可能來自夏威夷語 'alani，意思是“橘子（樹或水果）”。,,,,,,
女,Alanis,Lana,,英語（現代）,艾倫的女性形式。加拿大音樂家艾拉妮絲·莫莉塞特（Alanis Morissette，1974 年-）以她父親艾倫的名字命名。她的父母顯然是在希臘報紙上看到這個字後決定使用這個特殊的拼法。,,,,,,
女,Alanna,Lana,"Alana, Alannah, Ilana",英語,Alan 的女性形式。,,,,,,
女,Alannah,Lana,"Alana, Alanna, Ilana",愛爾蘭語、英語（現代）,阿拉娜的變種。它受到深情的盎格魯-愛爾蘭語單詞alannah的影響，該詞源自愛爾蘭蓋爾語短語a Leanbh，意思是“哦，孩子”。,,,,,,
女,Alannis,,,英語（現代）,Alanis 的變種。,,,,,,
女,Alaya,"Al, Ali, Allie, Laya",Alayah,英語（現代）,Alayah 的變體。它與佛教術語（梵語意為「住」）不謀而合，指的是人類意識的第八層次。,,,,,,
女,Alayah,"Al, Ali, Allie, Layah",Alaya,英語（現代）,可能是 Aaliyah 的變體，基於 Amaya 和 Anaya 等名字。,,,,,,
女,Alayna,Lana,Alaina,英語（現代）,Alaina 的變種。,,,,,,
男,Alban,,,德語、法語、阿爾巴尼亞語、英語（罕見）,來自羅馬語名Albanus，意思是「來自阿爾巴」。阿爾巴（源自拉丁語albus“白色”）是羅馬帝國境內多個地方的名稱，其中包括阿爾巴隆加市。這個名字是由第一位英國殉道者聖奧爾本（Saint Alban）（公元四世紀）起的。根據傳統，他在家裡庇護了一名逃亡的牧師。當他的房子被搜查時，他喬裝成牧師，代替他被捕，並被斬首。另一位 4 世紀的殉道者是美因茨的聖阿爾班 (Saint Alban of Mainz)。作為一個英語名字，Alban 在中世紀偶爾被使用，並在 18 世紀復興，儘管現在已經不常見了。,,,,,,
男,Albert,"Al, Albie, Bert, Bertie (English) Bert (German) Alik (Russian) Bert (Dutch) Altti, Pertti (Finnish)",,英語、德語、法語、加泰隆尼亞語、波蘭語、捷克語、俄語、荷蘭語、瑞典語、挪威語、丹麥語、冰島語、芬蘭語、羅馬尼亞語、匈牙利語、阿爾巴尼亞語、日耳曼語,源自日耳曼語名字 Adalbert，意思是“高貴和光明”，由元素 adal（“高貴”）和 beraht（“光明”）組成。這個名字在中世紀的德國皇室中很常見。諾曼人將其引入英格蘭，並取代了古英語同源詞 Æþelbeorht。雖然到 17 世紀它在英國已經很少見，但在 19 世紀由出生於德國的維多利亞女王的丈夫阿爾伯特親王重新流行起來。這個名字是由 20 世紀比利時的兩位國王所用的。其他著名的承載者包括相對論創始人德國物理學家阿爾伯特·愛因斯坦（1879-1955）和法裔阿爾及利亞作家和哲學家阿爾伯特·加繆（1913-1960）。,,,,,,
女,Alberta,"Bertie, Bertina, Birdie (英語) Albertina (義大利語) Albertina (葡萄牙語)",,"英語, 義大利語, 葡萄牙語, 西班牙語",阿爾伯特的女性形式。這是加拿大一個省的名稱，為紀念維多利亞女王的女兒而命名。,,,,,,
男,Albie,,,英語,Albert 特的小名。,,,,,,
男,Albin,,,"瑞典語, 法語, 英語, 斯洛維尼亞語, 波蘭語",Albinus 在多種語言中的形式。,,,,,,
男,Albinus,,,古羅馬,羅馬名字是阿不思的衍生詞。聖阿爾比努斯（Saint Albinus，也稱為奧賓）是 6 世紀布列塔尼昂熱的主教。,,,,,,
男,Alden,,,英語,源自古英語名字 Ealdwine 的姓氏。,,,,,,
男,Aldous,,,英語（罕見）,可能是以古英語元素 eald“old”開頭的縮寫名稱。自中世紀以來，它一直被用作英語名字，主要在東安格利亞。英國作家奧爾德斯·赫胥黎（Aldous Huxley，1894-1963）是這個名字的著名持有者。,,,,,,
女,Alea,"Al, Ali, Lea","Aaliyah, Aleah",英語（罕見）,Aaliyah 的變體。,,,,,,
女,Aleah,"Al, Ali, Leah","Aaliyah, Alea",英語（罕見）,Aaliyah 的變體。,,,,,,
女,Alease,"Lesia, Lisha, Lyssa, Lecia",Alicia,英語,可能是 Alicia 的變體。,,,,,,
男,Alec,,,英語,Alexander 的縮寫形式。,,,,,,
女,Alecia,"Al, Ali, Lesia, Lisha, Lyssa, Lecia",,英語,Alicia 的變種。,,,,,,
女,Aleesha,"Al, Ali, Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
女,Alene,,,英語,Aline 的變體。,,,,,,
女,Alesha,"Lesia, Lisha, Lyssa, Lecia",,英語（現代）,Alicia 的變體。,,,,,,
女,Alesia,"Lesia, Lisha, Lyssa, Lecia",,英語,Alicia 的變體。,,,,,,
女,Aleta,,,英語,可能是 Alethea 的變體。這是 1937 年首次出現的漫畫《勇敢王子》中主角妻子的名字。,,,,,,
女,Aletha,Letha,,英語,Alethea 的變種。,,,,,,
女,Alethea,Letha,,英語,源自希臘文ἀλήθεια (aletheia)，意思是「真理」。這個名字是在16世紀創造的。,,,,,,
男女,Alex,Lexa,,英語、荷蘭語、德語、法語、葡萄牙語、羅馬尼亞語、希臘語、瑞典語、挪威語、丹麥語、冰島語、匈牙利語、捷克語、俄語,Alexander、Alexandra 和其他以 Alex 開頭的名字的縮寫形式。,,,,,,
女,Alexa,Lexa,Lexa,"英語, 德語, 匈牙利語",Alexandra 的縮寫形式。,,,,,,
男,Alexander,"Al, Alec, Alex, Lex, Sandy, Xander, Zander (英語) Alex (德語) Alex, Lex, Sander, Xander (荷蘭語) Alex (瑞典語) Alex, Sander (挪威語) Alex, Sander (丹麥語) Alex (冰島語) Alex, Sándor, Sanyi (匈牙利語) Aleš (斯洛伐克語)",,英語、德語、荷蘭語、瑞典語、挪威語、丹麥語、冰島語、匈牙利語、斯洛伐克語、聖經、古希臘語（拉丁語）、希臘神話（拉丁語）,希臘文名稱 Ἀλέбиανδρος (Alexandros) 的拉丁化形式，意思是“保衛人類”，源自希臘語 ἀλέxiω (alexo)，意思是“保衛、幫助”，ἀνήρ (aner) 意思是“人”（屬格ἀ ό ϕ）。在希臘神話中，這是英雄帕里斯的另一個名字，它也屬於新約中的幾個人物。然而，最著名的持有者是馬其頓國王亞歷山大大帝。西元前4世紀，他在希臘、埃及、波斯和印度部分地區建立了一個龐大的帝國。由於他的名氣以及後來涉及他的中世紀故事，他的名字的使用傳遍了整個歐洲。蘇格蘭、波蘭和南斯拉夫國王、俄羅斯皇帝和八位教宗都曾使用過這個名字。其他著名的承載者包括英國詩人亞歷山大·波普（1688-1744）、美國政治家亞歷山大·漢密爾頓（1755-1804）、蘇格蘭-加拿大探險家亞歷山大·麥肯齊（1764-1820）、俄羅斯詩人亞歷山大·普希金（1799-1837）和亞歷山大·格雷厄姆·貝爾（1847-1922），蘇格蘭裔加拿大裔美國人，電話發明者。,,,,,,
女,Alexandra,Al、Alec、Alex、Lex、Sandy、Xander、Zander（英語） Alex（德語） Alex、Lex、Sander、Xander（荷蘭語） Alex（瑞典語） Alex、Sander（德語） Alex、Sander（丹麥語） Alex（冰島語） Alex、Sándor、Sanyi（匈牙利語） Aleš（斯洛伐克語）,,英語、德語、荷蘭語、法語、瑞典語、挪威語、丹麥語、冰島語、希臘語、葡萄牙語、羅馬尼亞語、捷克語、斯洛伐克語、匈牙利語、加泰隆尼亞語、俄語、烏克蘭語、古希臘文、希臘神話,Alexander 的女性形式。在希臘神話中，這是女神赫拉的邁錫尼綽號，也是卡桑德拉的另一個名字。它由幾位早期基督教聖徒以及俄羅斯末代沙皇尼古拉二世的妻子承擔。她來自德國，原名阿利克斯，但加入俄羅斯教會後改名為Александра（亞歷山大）。,,,,,,
女,Alexandrea,"Alex, Alexa, Alexina, Ali, Allie, Ally, Lexa, Lexi, Lexie, Lexine, Lexy, Sandie, Sandy, Zandra, Alyx, Drina",,英語（現代）,Alexandrie 的變種。,,,,,,
女,Alexandria,"Alex, Alexa, Alexina, Ali, Allie, Ally, Lexa, Lexi, Lexie, Lexine, Lexy, Sandie, Sandy, Zandra, Alyx, Drina",,英語,Alexander 的女性形式。亞歷山大大帝在向東擴展他的帝國時，以這個名字建立了幾座城市（或重新命名）。其中最著名的是埃及的亞歷山大，由亞歷山大於公元前 331 年建立。,,,,,,
女,Alexia,"Alexina, Lexi, Lexia, Lexie, Lexine, Lexus, Lexy",,希臘文、法語、西班牙語、英語（現代）,Alexis 的女性形式。,,,,,,
女,Alexina,,,英語,Alex 的女性形式，或 Alexis 的小寫形式。,,,,,,
男女,Alexis,"Alexina, Lexi, Lexia, Lexie, Lexine, Lexus, Lexy",,法語、英語、希臘語、西班牙語、古希臘語,源自希臘文名字Ἄλεψις（Alexis），意思是“幫助者”或“捍衛者”，源自希臘語ἀλέxiω（alexo），意思是“捍衛、幫助”。這是公元前 3 世紀一位希臘喜劇詩人的名字，也是幾位聖人的名字。它在某種程度上與相關名稱 Ἀλέέιος 或 Alexius 互換使用，由五位拜占庭皇帝所使用。在英語世界中，這個名字更常用於女孩。這要歸功於美國女演員亞歷克西斯史密斯（Alexis Smith，1921-1993），她在 20 世紀 40 年代初開始出現在電影中。它在 20 世紀 80 年代因肥皂劇《王朝》中的一個角色而大受歡迎。,,,,,,
女,Alexus,"Alexina, Lexi, Lexia, Lexie, Lexine, Lexus, Lexy",,英語（現代）,Alexis 的變種。,,,,,,
男,Alf,Alfie,,英語,阿爾弗雷德 (Alfred) 的縮寫形式。,,,,,,
男,Alfie,,,英語,Alfred 的小名。,,,,,,
男,Alfred,"Alf, Alfie（英語） Fred（德語）",,英語、法語、瑞典語、挪威語、丹麥語、德語、波蘭語、荷蘭語、阿爾巴尼亞語,意思是“精靈顧問”，源自古英語名稱 Ælfræd，由 ælf“精靈”和 ræd“顧問、建議”組成。阿爾弗雷德大帝是九世紀威塞克斯國王，他不斷地與居住在英格蘭東北部的丹麥人作戰。他也是一位學者，將許多拉丁文書籍翻譯成古英語。即使在諾曼征服之後，他的名聲也確保了這個名字的使用，當時大多數古英語名字都被諾曼名字所取代。到中世紀末，它變得罕見，但在 18 世紀又復活了。著名的得主包括英國詩人阿爾弗雷德·丁尼生（Alfred Tennyson，1809-1892）、瑞典發明家、諾貝爾獎創始人阿爾弗雷德·諾貝爾（Alfred Nobel，1833-1896）和英美電影導演阿爾弗雷德·希區考克（Alfred Hitchcock，1899-1980）。,,,,,,
女,Alfreda,"Freda, Freddie",,英語、義大利語、波蘭語（稀有）、德語（稀有）,Alfred 的女性形式。,,,,,,
男,Algar,,,英語（罕見）,意思是“精靈矛”，源自古英語 ælf“精靈”和 gar“矛”。這個古英語名稱在諾曼征服之後很少使用，被發音相似的名稱以及諾曼和斯堪的納維亞同源詞吸收。它在19世紀曾短暫復興。,,,,,,
男,Alger,,,英語,源自於名字阿爾加 (Algar) 的姓氏。,,,,,,
男,Algernon,,,英語,最初是諾曼法語的暱稱，源自於“aux gernons”“有小鬍子”，適用於征服者威廉的同伴威廉·德·珀西。它第一次被使用是在 15 世紀（威廉·德·珀西的後裔）。這個名字源自於美國作家丹尼爾·凱斯的短篇小說《獻給阿爾傑農的鮮花》（1958年）和同名小說（1966年）中的一個角色（一隻老鼠）。,,,,,,
女,Ali,,,英語,Alison、Alexandra 和其他以相同聲音開頭的名字的縮寫。,,,,,,
女,Aliah,,,英語（罕見）,Aaliyah 的變體。,,,,,,
女,Alice,,,英語、法語、葡萄牙語、義大利語、德語、捷克語、瑞典語、丹麥語、挪威語、荷蘭語,源自古法文名稱 Aalis，Adelais 的縮寫形式，本身就是日耳曼名稱 Adalheidis 的縮寫形式（參見 Adelaide）。這個名字在12世紀開始在法國和英國流行。在 16 世紀之前，它一直是英格蘭最常見的名字之一，之後開始衰落。它在19世紀得到復興。這個名字是由劉易斯·卡羅爾的小說《愛麗絲夢遊仙境》（1865年）和《愛麗絲鏡中奇遇記》（1871年）中的女主角命名的。,,,,,,
女,Alicia,Ali、Allie、Ally、Lesia、Lisha、Lyssa、Alison、Lecia (英語) Alison、Alisson (法語),,"西班牙語, 英語, 瑞典語, 法語",Alice 的拉丁化形式。,,,,,,
